Id,OwnerId,Name,CurrencyIsoCode,RecordTypeId,BillingConditions__c,InvoiceSendingMethod__c,PaymentMethod__c,Status__c,Account__c,AutoRenewal__c,BillingInstructions__c,ChannelPartnerAssociated__c,ContractDurationInYears__c,ETT_Price_Catalog__c,EndUser__c,NetsuiteId__c,NetsuiteLink__c,PlatformLink__c,Primary__c,PurchaseOrderReference__c,PurchaseOrderRequestDate__c,PurchaseOrderRequired__c,SendInvoiceTo__c,SourceOpportunity__c,StartDateRevRec__c,StartDate__c,TotalAmountPaid__c,BillableDate__c,BillingBusinessName__c,BillingContact__c,BillingDepartment__c,CashCollectionContact__c,NewChargeMap__c,NumberOfRenewalsLeft__c,PO_Frequency__c,PO_Required__c,RenewedChargeMap__c,ShippingBusinessName__c,ShippingDepartment__c,Type__c,BillingAddress__Street__s,BillingAddress__City__s,BillingAddress__PostalCode__s,BillingAddress__StateCode__s,BillingAddress__CountryCode__s,ShippingAddress__Street__s,ShippingAddress__City__s,ShippingAddress__PostalCode__s,ShippingAddress__StateCode__s,ShippingAddress__CountryCode__s,Date_ODS__c,ETTBillingSchedule__c
a02Aa00000RYDZoIAP,005ci000000yZKfAAM,APTAR GROUP - Pixid FR - 2025,EUR,012IV000001yk7WYAQ,45 days,,Transfer,Backlog,001Aa00001c7SjoIAE,true,,,0,,,,,,false,,,false,,,,,0,,,,,,,,,,,,,New business,,,,,,,,,,,,
a02Aa00000RYFBqIAP,005ci000000yZKfAAM,APTAR GROUP - Pixid FR - 2025,EUR,012IV000001yk7WYAQ,45 days,,Transfer,Billed,001Aa00001c7SjoIAE,false,,,0,,,,,,false,,,false,,,,,0,,,,,,,,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYWFmIAP,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - GC - 2026,EUR,012IV000001yk7WYAQ,45 days,,Transfer,Backlog,001Aa00001c9f0sIAA,true,,,0,,,,,,false,,,false,,,,,0,,,,,,,,,,,,,Renewal,,,,,,,,,,,,
a02Aa00000RYX8sIAH,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - Pixid FR - 2025,EUR,012IV000001yk7WYAQ,30 days,,Transfer,Backlog,001Aa00001c9f0sIAA,false,,,999,,,,,,false,,,false,,,,,0,,,,,,,998,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYXN3IAP,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) -  - 2025,EUR,012IV000001yk7WYAQ,30 days,,Transfer,Backlog,001Aa00001c9f0sIAA,false,,,999,,,,,,false,,,false,,,,,0,,,,,,,998,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYaPiIAL,005ci000000yZKfAAM,TRANSGOURMET (BSP) - Pixid FR - 2025,EUR,012IV000001yk7WYAQ,30 days,,Direct Debit,Backlog,001Aa00001c9KgDIAU,false,,,0,,,,,,false,,,false,,,,,0,,,,,,,,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYahRIAT,005ci000000yZKfAAM,APTAR GROUP - GC - 2026,EUR,012IV000001yk7WYAQ,45 days,,Transfer,Backlog,001Aa00001c7SjoIAE,true,,,0,,,,,,false,,,false,,,2026-02-03,,0,,,,,,,,,,,,,Renewal,,,,,,,,,,,,
a02Aa00000RYahSIAT,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - Pixid FR - 2025,EUR,012IV000001yk7WYAQ,30 days,,Transfer,Backlog,001Aa00001c9f0sIAA,false,,,999,,,,,,false,,,false,,,,,0,,,,,,,998,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYaj3IAD,005ci000000yZKfAAM,SNCF DOMAINE MATERIEL - Pixid FR - 2025,EUR,012IV000001yk7WYAQ,45 days,,Transfer,Backlog,001Aa00001c9iMrIAI,false,,,99,,,,,,false,,,false,,,,,0,,,,,,,,,,,,,New business,,,,,,,,,,,,
a02Aa00000RYakfIAD,005ci000000yZKfAAM,TRANSGOURMET (BSP) - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,30 days,,Direct Debit,Backlog,001Aa00001c9KgDIAU,true,,,99,,,,,,false,,,false,,,,,0,,,,,,,98,,,,,,Renewal,,,,,,,,,,,,
a02Aa00000RYamHIAT,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) -  - 2025,EUR,012IV000001yk7WYAQ,30 days,,Transfer,Backlog,001Aa00001c9f0sIAA,false,,,999,,,,,,false,,,false,,,,,0,,,,,,,998,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYantIAD,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) -  - 2025,EUR,012IV000001yk7WYAQ,30 days,,Transfer,Backlog,001Aa00001c9f0sIAA,false,,,999,,,,,,false,,,false,,,,,0,,,,,,,998,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYapVIAT,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) -  - 2025,EUR,012IV000001yk7WYAQ,30 days,,Transfer,Backlog,001Aa00001c9f0sIAA,false,,,999,,,,,,false,,,false,,,,,0,,,,,,,998,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RYar7IAD,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) -  - 2025,EUR,012IV000001yk7WYAQ,30 days,,Transfer,Backlog,001Aa00001c9f0sIAA,false,,,0,,,,,,false,,,false,,,,,0,,,,,,,,,,,,,Cross-sell/Upsell,,,,,,,,,,,,
a02Aa00000RbuDbIAJ,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,,,,Backlog,001Aa00001c9f0sIAA,false,,,0,,,,,,true,,,false,,006Aa00000TiRBvIAN,2026-01-01,,0,,,,,,,,,,,,,New business,1973 boulevard de la Défense,NANTERRE,92000,,,,,,,,,
a02Aa00000RbuaOIAR,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - Carerix - 2026,EUR,012IV000001yk7WYAQ,,,,Backlog,001Aa00001c9f0sIAA,false,,,0,,,,,,true,,,false,,006Aa00000TiRBvIAN,2026-01-01,,0,,,,,,,,,,,,,New business,1973 boulevard de la Défense,NANTERRE,92000,,,,,,,,,
a02Aa00000Rbuv0IAB,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,,,,Backlog,001Aa00001c9f0sIAA,false,,,0,,,,,,true,,,false,,006Aa00000TiRBvIAN,2026-01-01,,0,,,,,,,,,,,,,New business,1973 boulevard de la Défense,NANTERRE,92000,,,,,,,,,
a02Aa00000RbyQfIAJ,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,,,,Backlog,001Aa00001c9f0sIAA,false,,,0,,,,,,true,,,false,,006Aa00000TiRBvIAN,2026-01-01,,0,,,,,,,,,,,,,New business,1973 boulevard de la Défense,NANTERRE,92000,,,,,,,,,
a02Aa00000Rbz4zIAB,005ci000000yZKfAAM,VINCI CONSTRUCTION SI - VCSI (ex FRANCE-VCF) - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,,,,Backlog,001Aa00001c9f0sIAA,false,,,0,,,,,,true,,,false,,006Aa00000TiRBvIAN,2026-01-01,,0,,,,,,,,,,,,,New business,1973 boulevard de la Défense,NANTERRE,92000,,,,,,,,,
a02Aa00000RmPcjIAF,005ci000000yZKfAAM,SNCF DOMAINE MATERIEL - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,45 days,E-Invoice,Direct Debit,Backlog,001Aa00001c9iMrIAI,false,Test 2,,1,,,,,,false,,,false,,006Aa00000TtxjYIAR,2026-01-01,,0,,SNCF,003Aa00000vApZ0IAK,SNCF,003Aa00000vApZ0IAK,,0,,,,SNCF,SNCF,Cross-sell/Upsell,16 rue Simone Veil,SAINT-OUEN-SUR-SEINE,93400,,FR,16 Rue Simone Veil,Saint-Ouen-sur-Seine,93400,,FR,,
a02Aa00000RmSdZIAV,005ci000000yZKfAAM,SNCF DOMAINE MATERIEL - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,45 days,E-Invoice,Direct Debit,Backlog,001Aa00001c9iMrIAI,false,Test,001Aa00001c9f0sIAA,0,,001Aa00001c9f0sIAA,,,,true,,,false,,006Aa00000Tu4Q1IAJ,2026-01-01,,0,,SNCF,003Aa00000vApZ0IAK,SNCF,003Aa00000vApZ0IAK,,,,No,,SNCF,SNCF,New business,16 rue Simone Veil,SAINT-OUEN-SUR-SEINE,93400,,FR,16 Rue Simone Veil,Saint-Ouen-sur-Seine,93400,,FR,,
a02Aa00000RxSn7IAF,005ci000000yZKfAAM,VINCI Test New - Pixid FR - 2026,EUR,012IV000001yk7WYAQ,,,,Backlog,001Aa00001dIo0VIAS,false,,,0,,,,,,true,,,false,,006Aa00000U4ycDIAR,2026-01-01,,0,,Test,,Finance,,,,,Yes,,Test,Finance,New business,1973 boulevard de la Défense,NANTERRE,92000,,FR,1973 boulevard de la Défense,NANTERRE,92000,,FR,,
