Account__c,RecordTypeId,Type__c,Status__c,CurrencyIsoCode,AutoRenewal__c,Primary__c,BillingConditions__c,InvoiceSendingMethod__c,PaymentMethod__c,SendInvoiceTo__c,BillingInstructions__c,PurchaseOrderRequired__c,PurchaseOrderReference__c,PurchaseOrderRequestDate__c,BillingBusinessName__c,BillingDepartment__c,BillingAddress__Street__s,BillingAddress__City__s,BillingAddress__PostalCode__s,BillingAddress__CountryCode__s,ShippingBusinessName__c,ShippingDepartment__c,ShippingAddress__Street__s,ShippingAddress__City__s,ShippingAddress__CountryCode__s,BillingContact__c,CashCollectionContact__c,SourceOpportunity__c
001IV000015S8iwYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,0nly.invoices.placoplatre@saint-gobain.com,Redevance 2026,false,,,PLACOPLATRE sa - Usine Placo de Chambéry,Ressources Humaines,Z.I de Bissy - 456 rue Emile Romanet,CHAMBERY,73026,FR,PLACOPLATRE sa - Usine Placo de Chambéry,Facture originale électronique à,0nly.invoices.placoplatre@saint-gobain.com,.,FR,003IV000010tSmVYAU,003IV000010tSmVYAU,006ci00000SqrRYAAZ
001IV000015SAHsYAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,GROUPE SAB - FINANCIERE D'AZOLETTE sa,,1077 Route des 4 vents,BELMONT DE LA LOIRE,42670,FR,GROUPE SAB - FINANCIERE D'AZOLETTE sa,,1077 Route des 4 vents,BELMONT DE LA LOIRE,FR,003IV000010tTsfYAE,003IV000010tTsfYAE,006ci00000SqrRZAAZ
001IV000015SAI5YAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,true,,2026-01-01,OFFICE PUBLIC DE L'HABITAT DU DEPARTEMENT DE SEINE-MARITIME,HABITAT 76 - Service RHEC,112 Boulevard d'Orléans,ROUEN,76100,FR,OFFICE PUBLIC DE L'HABITAT DU DEPARTEMENT DE SEINE-MARITIME,HABITAT 76 - Service RHEC,112 Boulevard d'Orléans,ROUEN,FR,003IV000010rLj2YAE,003IV000010rLj2YAE,006ci00000SqrRaAAJ
001IV000015S2eCYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,144.accountspayable@ap.tetrapak.com,Redevance 2026,false,,,PAPETERIES DE DIJON snc,,3 rue Romelet,LONGVIC,21600,FR,PAPETERIES DE DIJON snc,Facture originale électronique à,144.accountspayable@ap.tetrapak.com,.,FR,003IV000010tRVxYAM,003IV000010tRVxYAM,006ci00000SqrRbAAJ
001IV000015S541YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,SNCF DOMAINE MATERIEL,,16 rue Simone Veil,SAINT-OUEN-SUR-SEINE,93400,FR,SNCF DOMAINE MATERIEL,,16 rue Simone Veil,SAINT-OUEN-SUR-SEINE,FR,003IV000010tNmEYAU,003IV000010tSjCYAU,006ci00000SqrRcAAJ
001IV000015S8izYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,true,,2026-01-01,AGENCE NATIONALE DES TITRES SECURISES,,18 Rue Irénee Carré,CHARLEVILLE-MEZIERES,8800,FR,AGENCE NATIONALE DES TITRES SECURISES,,18 Rue Irénee Carré,CHARLEVILLE-MEZIERES,FR,003IV000010tSnVYAU,003IV000010tSnVYAU,006ci00000SqrRdAAJ
001IV000015S2eOYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,MONT BLANC sas,RH,2 rue du Capitaine Rex Combs,CHEF DU PONT,50480,FR,MONT BLANC sas,,2 rue du Capitaine Rex Combs,CHEF DU PONT,FR,003IV000010t1w0YAA,003IV000010t1w0YAA,006ci00000SqrReAAJ
001IV000015S868YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,GROUPE SFPI sa,,20 Rue de L'Arc de Triomphe,PARIS,75017,FR,GROUPE SFPI sa,,20 Rue de L'Arc de Triomphe,PARIS,FR,003IV000010tIdSYAU,003IV000010tIdSYAU,006ci00000SqrRfAAJ
001IV000015SAI6YAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,BACCARAT sa,,20 Rue des Cristalleries,BACCARAT,54120,FR,BACCARAT sa,,20 Rue des Cristalleries,BACCARAT,FR,003IV000010su8iYAA,003IV000010su8iYAA,006ci00000SqrRgAAJ
001IV000015RyE0YAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,45 days,Paper,Transfer,,Redevance 2026,true,,2026-01-01,McBRIDE S.A.S,,20 Rue Gustave Flaubert,MOYAUX,14590,FR,McBRIDE S.A.S,,20 Rue Gustave Flaubert,MOYAUX,FR,003IV000010tJZpYAM,003IV000010tJZpYAM,006ci00000SqrRhAAJ
