AccountId,RecordTypeId,Name,StageName,CloseDate,Activity__c,Offer__c,CurrencyIsoCode,ChannelType__c
001IV000015S8iwYAC,012IV000001jKlBYAU,PLACOPLATRE CHAMBERY - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHsYAO,012IV000001jKlBYAU,SAB GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAI5YAO,012IV000001jKlBYAU,HABITAT 76 - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eCYAS,012IV000001jKlBYAU,TETRAPAK - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S541YAC,012IV000001jKlBYAU,SNCF DOMAINE MATERIEL - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8izYAC,012IV000001jKlBYAU,ANTS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eOYAS,012IV000001jKlBYAU,MONT BLANC - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S868YAC,012IV000001jKlBYAU,Groupe SFPI - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAI6YAO,012IV000001jKlBYAU,BACCARAT - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyE0YAK,012IV000001jKlBYAU,MC BRIDE SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAFeYAO,012IV000001jKlBYAU,PASTACORP (PACK C&S) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RhU6YAK,012IV000001jKlBYAU,AUTAJON GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDxYAK,012IV000001jKlBYAU,POINT P IDF - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8iTYAS,012IV000001jKlBYAU,LIS FRANCE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDjYAK,012IV000001jKlBYAU,ALMA GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50LYAS,012IV000001jKlBYAU,SENIOR - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAI9YAO,012IV000001jKlBYAU,ELYDAN sas - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyL0YAK,012IV000001jKlBYAU,REVIMA - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50KYAS,012IV000001jKlBYAU,MILLET MOUNTAIN GROUP SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHqYAO,012IV000001jKlBYAU,AMPHENOL FCI - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDiYAK,012IV000001jKlBYAU,TENNECO AUTOMOTIVE FRANCE SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2SQYA0,012IV000001jKlBYAU,EXCELVISION - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDzYAK,012IV000001jKlBYAU,CALIDA GROUP (LALLEMAND) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
