Type de commande,*,Date,À ce jour,Période,Période de taxe,Type,Numéro de document,Customer Name,Compte,Mémo,Montant,SF External ID,Article,Statut,Montant (hors taxe),Montant payé,Devise,Numéro de facture,Commande client,SF Customer ID,Montant (taxe totale de la transaction),Montant (Total de la transaction),Tax Amount,Item Amount TTC,Created From ID,Quantité,Nature,Nature de la transaction,Nature,Tax Amount,Montant (taxe),Created From SF ID,File Internal ID,File Name,File Size KB,File Folder,File Type,File URL,File External ID,File Desc,File Created Date
, ,21/07/2025,21/07/2025,Jul 2025,Jul 2025,Avoir,2025004247,ALLI-00036 ALLIANCE GROUPE - AFIGEST (Financiere du Val de Reuil ex GIE),4110 Revenue - Usage,PROD / Pack ETT Standard / Abonnement 2025-04 mensuel,-210.00,,Pixid France - Go live,Totalement appliqué,-210.00,.00,EUR,Avoir #2025004247, ,001IV000015EvHqYAK,-42.00,-252.00,,ERREUR : champ non trouvé,19836,-1,,,Usage,,-42.00,,,,,,,,,, 
, ,21/07/2025,21/07/2025,Jul 2025,Jul 2025,Avoir,2025004248,ALLI-00036 ALLIANCE GROUPE - AFIGEST (Financiere du Val de Reuil ex GIE),4110 Revenue - Usage,PROD / Pack ETT Standard / Abonnement 2025-06 mensuel,-210.00,,Pixid France - Go live,Totalement appliqué,-210.00,.00,EUR,Avoir #2025004248, ,001IV000015EvHqYAK,-42.00,-252.00,,ERREUR : champ non trouvé,19837,-1,,,Usage,,-42.00,,,,,,,,,, 
, ,21/07/2025,21/07/2025,Jul 2025,Jul 2025,Avoir,2025004249,ALLI-00036 ALLIANCE GROUPE - AFIGEST (Financiere du Val de Reuil ex GIE),4110 Revenue - Usage,PROD / Pack ETT Standard / Recharge,-3848.00,,Pixid France - Go live,Totalement appliqué,-3848.00,.00,EUR,Avoir #2025004249, ,001IV000015EvHqYAK,-769.60,-4617.60,,ERREUR : champ non trouvé,19838,-1,,,Usage,,-769.60,,,,,,,,,, 
, ,29/07/2025,29/07/2025,Jul 2025,Jul 2025,Avoir,2025004282,ELLI-00860 ELLIPSE INTERIM 06,4110 Revenue - Usage,Mise en Oeuvre Pack ETT - (Annulée),-970.00,,Pixid France - Go live,Totalement appliqué,-970.00,.00,EUR,Avoir #2025004282, ,001IV000015EvILYA0,-194.00,-1164.00,,ERREUR : champ non trouvé,20153,-1,,,Usage,,-194.00,,,,,,,,,, 
, ,29/07/2025,29/07/2025,Jul 2025,Jul 2025,Avoir,2025004283,COLP-01965 COLGATE PALMOLIVE,4110 Revenue - Usage,Redevance C&S 2025 à annuler,-2700.00,,Pixid France - Go live,Totalement appliqué,-2700.00,.00,EUR,Avoir #2025004283, ,001IV000015RzTSYA0,-540.00,-3240.00,,ERREUR : champ non trouvé,20065,-1,,,Usage,,-540.00,,,,,,,,,, 
, ,29/07/2025,29/07/2025,Jul 2025,Jul 2025,Avoir,2025004284,TRIA-00127 TRIANGLE INTERIM,4110 Revenue - Usage,Migration TRIANGLE INTERIM 1/2 - (A annuler),-6450.00,,Pixid France - Go live,Totalement appliqué,-6450.00,.00,EUR,Avoir #2025004284, ,001IV000015EtnoYAC,-548.25,-6998.25,,ERREUR : champ non trouvé,20991,-1,,,Usage,,-548.25,,,,,,,,,, 
, ,30/07/2025,30/07/2025,Jul 2025,Jul 2025,Avoir,2025004294,SCTR-01884 SOCOTRAP,4110 Revenue - Usage,Redevance interface iBat 2025 annuelle - Prorata,-1466.67,,Pixid France - Go live,Totalement appliqué,-1466.67,.00,EUR,Avoir #2025004294, ,001IV000015S9H7YAK,-293.33,-1760.00,,ERREUR : champ non trouvé,20846,-1,,,Usage,,-293.33,,,,,,,,,, 
, ,29/07/2025,29/07/2025,Jul 2025,Jul 2025,Avoir,2025004285,ALTM-01430 ALTEMA (FINANCIERE DU RIED),2400 Deferred Revenue,Redevance d'utilisation,-1922.36,,Redevance d'utilisation - ETP EU,Totalement appliqué,-1922.36,.00,EUR,Avoir #2025004285, ,001IV000015S9GTYA0,-384.47,-2306.83,,ERREUR : champ non trouvé,27779,-1,Usage,,Usage,,-384.47,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1.1 - Pack Apporté - Contrat,307.85,,1.1 - Pack Apporté - Contrat Initial,Payé en totalité,307.85,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,655,,,Usage,,61.57,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,3 - myPixid EU - Contrat,931.54,,3 - myPixid EU - Contrat Initial,Payé en totalité,931.54,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,1982,,,Usage,,186.31,,,,,,,,,, 
