Id,Netsuite_Sales_Order_Id__c,match_type,invoice_number,csv_article,sf_article
a03IV00001CxOlGYAV,27897,article,2025004295,1.1 - Pack Apporté - Contrat Initial,1.1 - Pack Apporté - Contrat Initial
a03IV00001CxOlHYAV,27897,article,2025004295,3 - myPixid EU - Contrat Initial,3 - myPixid EU - Contrat Initial
a03IV00001CxOlIYAV,27897,article,2025004295,3 - myPixid EU - Attestation d'Annulation,3 - myPixid EU - Attestation d'Annulation
a03IV00001CxOlJYAV,27897,article,2025004295,2 - PPE Partenaires - Avenant,2 - PPE Partenaires - Avenant
a03IV00001CxOlKYAV,27897,article,2025004295,1 - GC-Pack EU - Contrat Initial,1 - GC-Pack EU - Contrat Initial
a03IV00001CxOlLYAV,27897,article,2025004295,1 - GC-Pack EU - Avenant,1 - GC-Pack EU - Avenant
a03IV00001CxOlMYAV,27897,article,2025004295,1 - GC-Pack EU - Attestation d'Annulation,1 - GC-Pack EU - Attestation d'Annulation
a03IV00001CxOlNYAV,27897,article,2025004295,1 - GC-Pack EU - PYA T3 (2000 - 5000),1 - GC-Pack EU - PYA T3 (2000 - 5000)
a03IV00001CxOlOYAV,27897,article,2025004295,2 - PPE Partenaires - PYA T2 (1000 - 2000),2 - PPE Partenaires - PYA T2 (1000 - 2000)
a03IV00001CxOlPYAV,27897,article,2025004295,3 - myPixid EU - Contrat Annulé,3 - myPixid EU - Contrat Annulé
a03IV00001CxOlQYAV,27897,article,2025004295,1.1 - Pack Apporté - PYA,1.1 - Pack Apporté - PYA
a03IV00001CxOlRYAV,27897,article,2025004295,3 - myPixid EU (non brandé) - PYA,3 - myPixid EU (non brandé) - PYA
a03IV00001CxOlSYAV,27897,article,2025004295,3 - myPixid EU - Facture,3 - myPixid EU - Facture
a03IV00001CxOlTYAV,27897,article,2025004295,2 - PPE Partenaires - Attestation d'Annulation,2 - PPE Partenaires - Attestation d'Annulation
a03IV00001CxOlUYAV,27897,article,2025004295,1 - GC-Pack EU - Contrat Annulé,1 - GC-Pack EU - Contrat Annulé
a03IV00001CxOlVYAV,27897,article,2025004295,3 - myPixid EU - Avenant,3 - myPixid EU - Avenant
a03IV00001CxOlWYAV,27897,article,2025004295,2 - PPE Partenaires - Contrat Annulé,2 - PPE Partenaires - Contrat Annulé
a03IV00001CxOlXYAV,27897,article,2025004295,1.1 - Pack Apporté - Avenant,1.1 - Pack Apporté - Avenant
a03IV00001CxOlYYAV,27897,article,2025004295,2 - PPE Partenaires - Contrat Initial,2 - PPE Partenaires - Contrat Initial
a03IV00001Cx6pzYAB,27903,article,2025004296,5 - Portail - Attestation d'Annulation,5 - Portail - Attestation d'Annulation
a03IV00001Cx6q0YAB,27903,article,2025004296,1 - GC-Pack EU - Contrat Initial,1 - GC-Pack EU - Contrat Initial
a03IV00001Cx6q1YAB,27903,article,2025004296,5 - Portail - Contrat Annulé,5 - Portail - Contrat Annulé
a03IV00001Cx6q2YAB,27903,article,2025004296,2 - PPE Partenaires - Contrat Annulé,2 - PPE Partenaires - Contrat Annulé
a03IV00001Cx6q3YAB,27903,article,2025004296,2 - PPE Partenaires - Avenant,2 - PPE Partenaires - Avenant
a03IV00001Cx6q4YAB,27903,article,2025004296,3 - myPixid EU - Facture,3 - myPixid EU - Facture
a03IV00001Cx6q5YAB,27903,article,2025004296,2 - PPE Partenaires - Attestation d'Annulation,2 - PPE Partenaires - Attestation d'Annulation
a03IV00001Cx6q6YAB,27903,article,2025004296,1 - GC-Pack EU - Avenant,1 - GC-Pack EU - Avenant
a03IV00001Cx6q7YAB,27903,article,2025004296,5 - Portail - Avenant,5 - Portail - Avenant
a03IV00001Cx6q8YAB,27903,article,2025004296,1 - GC-Pack EU - Contrat Annulé,1 - GC-Pack EU - Contrat Annulé
a03IV00001Cx6q9YAB,27903,article,2025004296,2 - PPE Partenaires - PYA T1 (0 - 1000),2 - PPE Partenaires - PYA T1 (0 - 1000)
a03IV00001Cx6qAYAR,27903,article,2025004296,3 - myPixid EU (brandé) - PYA T1 (0 - 1000),3 - myPixid EU (brandé) - PYA T1 (0 - 1000)
a03IV00001Cx6qBYAR,27903,article,2025004296,3 - myPixid EU (non brandé) - PYA,3 - myPixid EU (non brandé) - PYA
a03IV00001Cx6qCYAR,27903,article,2025004296,3 - myPixid EU - Avenant,3 - myPixid EU - Avenant
a03IV00001Cx6qDYAR,27903,article,2025004296,3 - myPixid EU - Contrat Initial,3 - myPixid EU - Contrat Initial
a03IV00001Cx6qEYAR,27903,article,2025004296,2 - PPE Partenaires - Contrat Initial,2 - PPE Partenaires - Contrat Initial
a03IV00001Cx6qFYAR,27903,article,2025004296,4 - myPixid Ressources - Contrat de mission,4 - myPixid Ressources - Contrat de mission
a03IV00001Cx6qGYAR,27903,article,2025004296,1 - GC-Pack EU - Attestation d'Annulation,1 - GC-Pack EU - Attestation d'Annulation
a03IV00001Cx6qHYAR,27903,article,2025004296,5 - Portail - Contrat Initial,5 - Portail - Contrat Initial
a03IV00001Cx6qIYAR,27903,article,2025004296,4 - myPixid Ressources - Bulletin de salaire,4 - myPixid Ressources - Bulletin de salaire
a03IV00001Cx6qJYAR,27903,article,2025004296,1 - GC-Pack EU - PYA T1 (0 - 1000),1 - GC-Pack EU - PYA T1 (0 - 1000)
a03IV00001Cx6qKYAR,27903,article,2025004296,5 - Portail - PYA T1 (0 - 1000),5 - Portail - PYA T1 (0 - 1000)
a03IV00001CxTmXYAV,27915,article,2025004297,1 - GC-Pack EU - Contrat Initial,1 - GC-Pack EU - Contrat Initial
a03IV00001CxTmYYAV,27915,article,2025004297,2 - PPE Partenaires - Contrat Annulé,2 - PPE Partenaires - Contrat Annulé
a03IV00001CxTmZYAV,27915,article,2025004297,2 - PPE Partenaires - Attestation d'Annulation,2 - PPE Partenaires - Attestation d'Annulation
a03IV00001CxTmaYAF,27915,article,2025004297,2 - PPE Partenaires - Avenant,2 - PPE Partenaires - Avenant
a03IV00001CxTmbYAF,27915,article,2025004297,1 - GC-Pack EU - Contrat Annulé,1 - GC-Pack EU - Contrat Annulé
a03IV00001CxTmcYAF,27915,article,2025004297,3 - myPixid EU - Contrat Initial,3 - myPixid EU - Contrat Initial
a03IV00001CxTmdYAF,27915,article,2025004297,3 - myPixid EU - Attestation d'Annulation,3 - myPixid EU - Attestation d'Annulation
a03IV00001CxTmeYAF,27915,article,2025004297,3 - myPixid EU (non brandé) - PYA,3 - myPixid EU (non brandé) - PYA
a03IV00001CxTmfYAF,27915,article,2025004297,3 - myPixid EU - Contrat Annulé,3 - myPixid EU - Contrat Annulé
a03IV00001CxTmgYAF,27915,article,2025004297,1 - GC-Pack EU - Attestation d'Annulation,1 - GC-Pack EU - Attestation d'Annulation
a03IV00001CxTmhYAF,27915,article,2025004297,1 - GC-Pack EU - PYA T3 (2000 - 5000),1 - GC-Pack EU - PYA T3 (2000 - 5000)
a03IV00001CxTmiYAF,27915,article,2025004297,2 - PPE Partenaires - PYA T1 (0 - 1000),2 - PPE Partenaires - PYA T1 (0 - 1000)
a03IV00001CxTmjYAF,27915,article,2025004297,3 - myPixid EU - Avenant,3 - myPixid EU - Avenant
a03IV00001CxTmkYAF,27915,article,2025004297,2 - PPE Partenaires - Contrat Initial,2 - PPE Partenaires - Contrat Initial
a03IV00001CxTmlYAF,27915,article,2025004297,1 - GC-Pack EU - Avenant,1 - GC-Pack EU - Avenant
a03IV00001CxTmmYAF,27915,article,2025004297,3 - myPixid EU - Facture,3 - myPixid EU - Facture
a03IV00001CxAYfYAN,27923,article,2025004298,3 - myPixid EU - Avenant,3 - myPixid EU - Avenant
a03IV00001CxAYgYAN,27923,article,2025004298,1 - GC-Pack EU - Avenant,1 - GC-Pack EU - Avenant
a03IV00001CxAYhYAN,27923,article,2025004298,2 - PPE Partenaires - Contrat Initial,2 - PPE Partenaires - Contrat Initial
a03IV00001CxAYiYAN,27923,article,2025004298,1 - GC-Pack EU - Attestation d'Annulation,1 - GC-Pack EU - Attestation d'Annulation
a03IV00001CxAYjYAN,27923,article,2025004298,2 - PPE Partenaires - PYA T1 (0 - 1000),2 - PPE Partenaires - PYA T1 (0 - 1000)
a03IV00001CxAYkYAN,27923,article,2025004298,3 - myPixid EU (non brandé) - PYA,3 - myPixid EU (non brandé) - PYA
a03IV00001CxAYlYAN,27923,article,2025004298,1 - GC-Pack EU - PYA T1 (0 - 1000),1 - GC-Pack EU - PYA T1 (0 - 1000)
a03IV00001CxAYmYAN,27923,article,2025004298,4 - myPixid Ressources - Contrat de mission,4 - myPixid Ressources - Contrat de mission
a03IV00001CxAYnYAN,27923,article,2025004298,3 - myPixid EU - Facture,3 - myPixid EU - Facture
a03IV00001CxAYoYAN,27923,article,2025004298,1 - GC-Pack EU - Contrat Initial,1 - GC-Pack EU - Contrat Initial
a03IV00001CxAYpYAN,27923,article,2025004298,3 - myPixid EU - Contrat Initial,3 - myPixid EU - Contrat Initial
a03IV00001CxAYqYAN,27923,article,2025004298,2 - PPE Partenaires - Avenant,2 - PPE Partenaires - Avenant
a03IV00001CxAYrYAN,27923,article,2025004298,1 - GC-Pack EU - Contrat Annulé,1 - GC-Pack EU - Contrat Annulé
a03IV00001Cx4xxYAB,27925,article,2025004299,1 - GC-Pack EU - Contrat Annulé,1 - GC-Pack EU - Contrat Annulé
a03IV00001Cx4xyYAB,27925,article,2025004299,1 - GC-Pack EU - Attestation d'Annulation,1 - GC-Pack EU - Attestation d'Annulation
a03IV00001Cx4xzYAB,27925,article,2025004299,2 - PPE Partenaires - Avenant,2 - PPE Partenaires - Avenant
a03IV00001Cx4y0YAB,27925,article,2025004299,5 - Portail - Avenant,5 - Portail - Avenant
a03IV00001Cx4y1YAB,27925,article,2025004299,5 - Portail - Contrat Annulé,5 - Portail - Contrat Annulé
a03IV00001Cx4y2YAB,27925,article,2025004299,1 - GC-Pack EU - Avenant,1 - GC-Pack EU - Avenant
a03IV00001Cx4y3YAB,27925,article,2025004299,3 - myPixid EU - Attestation d'Annulation,3 - myPixid EU - Attestation d'Annulation
