row,invoice_number,article,created_from_id,montant_ht,raw_invoice
2,2025004247,Pixid France - Go live,19836,-210.0,Avoir #2025004247
3,2025004248,Pixid France - Go live,19837,-210.0,Avoir #2025004248
4,2025004249,Pixid France - Go live,19838,-3848.0,Avoir #2025004249
5,2025004282,Pixid France - Go live,20153,-970.0,Avoir #2025004282
6,2025004283,Pixid France - Go live,20065,-2700.0,Avoir #2025004283
7,2025004284,Pixid France - Go live,20991,-6450.0,Avoir #2025004284
8,2025004294,Pixid France - Go live,20846,-1466.67,Avoir #2025004294
9,2025004285,Redevance d'utilisation - ETP EU,27779,-1922.36,Avoir #2025004285
1698,CM25004295,Pixid France - Go live,20701,-500.0,Avoir #CM25004295
1699,CM25004297,Abonnement Light - Mensuel EC,31614,-122.0,Avoir #CM25004297
1961,CM25004298,Abonnement Light - Annuel NC,31515,-1287.0,Avoir #CM25004298
1970,CM25004299,Abonnement Premium - Mensuel EC,31610,-380.0,Avoir #CM25004299
1971,CM25004301,Redevance d'utilisation - ETP EU,27708,-9715.0,Avoir #CM25004301
1974,CM25004302,Redevance d'utilisation - ETP EU,157105,-3500.0,Avoir #CM25004302
3016,CM25004303,Pack ETT Light - Recharge,29348,-2191.0,Avoir #CM25004303
3017,CM25004304,Pack ETT Light - Recharge,233186,-1878.0,Avoir #CM25004304
3018,CM25004305,Abonnement Light - Mensuel NC,235383,-143.0,Avoir #CM25004305
3019,CM25004306,Redevance d'utilisation - ETP EU,27718,-4125.0,Avoir #CM25004306
3075,CM25004314,Abonnement Light - Mensuel NC,31498,-143.0,Avoir #CM25004314
3076,CM25004315,Abonnement Light - Mensuel NC,113513,-143.0,Avoir #CM25004315
3077,CM25004316,Abonnement Light - Mensuel NC,235176,-143.0,Avoir #CM25004316
3078,CM25004317,Abonnement Light - Mensuel NC,234746,-143.0,Avoir #CM25004317
3089,CM25004322,Abonnement Premium - Mensuel EC,235379,-380.0,Avoir #CM25004322
3105,CM25004323,Mise en œuvre Pack ETT,246357,-970.0,Avoir #CM25004323
3108,CM25004324,Pixid France - Go live,20891,-3300.0,Avoir #CM25004324
3821,CM25004325,Maintenance SSO,243043,-333.33,Avoir #CM25004325
4108,CM25004326,Abonnement Standard - Mensuel EC,251946,-210.0,Avoir #CM25004326
4109,CM25004327,Abonnement Light - Mensuel NC,251878,-143.0,Avoir #CM25004327
4110,CM25004328,Abonnement Light - Mensuel NC,234766,-143.0,Avoir #CM25004328
4137,CM25004329,Abonnement Light - Mensuel NC,251857,-143.0,Avoir #CM25004329
4141,CM25004330,Abonnement Light - Mensuel NC,31277,-143.0,Avoir #CM25004330
4142,CM25004331,Abonnement Light - Mensuel NC,113487,-143.0,Avoir #CM25004331
4143,CM25004332,Abonnement Light - Mensuel NC,234758,-143.0,Avoir #CM25004332
4144,CM25004333,Abonnement Light - Mensuel NC,251869,-143.0,Avoir #CM25004333
4145,CM25004334,Abonnement ETTi Light - Annuel 2024,27658,-828.0,Avoir #CM25004334
4146,CM25004335,Abonnement ETTi Light - Annuel,27660,-852.0,Avoir #CM25004335
4168,CM25004337,Support Gold (25 Tickets),252409,-104.17,Avoir #CM25004337
4169,CM25004338,Abonnement Light - Mensuel NC,27504,-143.0,Avoir #CM25004338
4170,CM25004339,Abonnement Light - Mensuel NC,31480,-143.0,Avoir #CM25004339
