Id,Name,NetsuiteId__c,ExistingNetsuiteId,Note
a04IV00000rHBw6YAG,2019000914,20171,20171,Already exists with NetsuiteId: a04IV00000tkfRuYAI=20171
a04IV00000rHBxJYAW,2019001189,20172,20172,Already exists with NetsuiteId: a04IV00000tkmzdYAA=20172
a04IV00000rHEbzYAG,2022005137,19873,19873,Already exists with NetsuiteId: a04IV00000tki3BYAQ=19873
a04IV00000rHErPYAW,2023000549,20135,20135,Already exists with NetsuiteId: a04IV00000tkmWbYAI=20135
a04IV00000rHErRYAW,2023000550,20134,20134,Already exists with NetsuiteId: a04IV00000tkmUzYAI=20134
a04IV00000rHErTYAW,2023000552,20139,20139,Already exists with NetsuiteId: a04IV00000tkmbRYAQ=20139
a04IV00000rHErHYAW,2023000553,20136,20136,Already exists with NetsuiteId: a04IV00000tkmYDYAY=20136
a04IV00000rHHfbYAG,2023001547,19883,19883,Already exists with NetsuiteId: a04IV00000tkgnmYAA=19883
a04IV00000rHHxKYAW,2023002452,19884,19884,Already exists with NetsuiteId: a04IV00000tkfV8YAI=19884
a04IV00000rHHxRYAW,2023002458,19911,19911,Already exists with NetsuiteId: a04IV00000tkiZRYAY=19911
a04IV00000rHHEKYA4,2023004033,20449,20449,Already exists with NetsuiteId: a04IV00000tkogUYAQ=20449
a04IV00000rHHKUYA4,2023004412,20450,20450,Already exists with NetsuiteId: a04IV00000tkrBJYAY=20450
a04IV00000rHHbmYAG,2023004816,20654,20654,Already exists with NetsuiteId: a04IV00000tkZ7zYAE=20654
a04IV00000rHHcFYAW,2023004845,19885,19885,Already exists with NetsuiteId: a04IV00000tkiETYAY=19885
a04IV00000rHHcGYAW,2023004846,19891,19891,Already exists with NetsuiteId: a04IV00000tkb6YYAQ=19891
a04IV00000rHHcHYAW,2023004847,19874,19874,Already exists with NetsuiteId: a04IV00000tkTiVYAU=19874
a04IV00000rHHcJYAW,2023004849,19875,19875,Already exists with NetsuiteId: a04IV00000tki9dYAA=19875
a04IV00000rHHcKYAW,2023004850,19876,19876,Already exists with NetsuiteId: a04IV00000tki81YAA=19876
a04IV00000rHHcLYAW,2023004851,19912,19912,Already exists with NetsuiteId: a04IV00000tkd58YAA=19912
a04IV00000rHHenYAG,2023004997,20529,20529,Already exists with NetsuiteId: a04IV00000tkjaNYAQ=20529
a04IV00000rHL3pYAG,2023005620,20402,20402,Already exists with NetsuiteId: a04IV00000tkqaDYAQ=20402
a04IV00000rHL4HYAW,2023005646,20576,20576,Already exists with NetsuiteId: a04IV00000tkbeSYAQ=20576
a04IV00000rHL9FYAW,2024000046,20438,20438,Already exists with NetsuiteId: a04IV00000tkY5SYAU=20438
a04IV00000rHL8xYAG,2024000206,20577,20577,Already exists with NetsuiteId: a04IV00000tkpHbYAI=20577
a04IV00000rHLDoYAO,2024000320,19926,19926,Already exists with NetsuiteId: a04IV00000tkizFYAQ=19926
a04IV00000rHLDRYA4,2024000355,20114,20114,Already exists with NetsuiteId: a04IV00000tkmErYAI=20114
a04IV00000rHLEVYA4,2024000366,20187,20187,Already exists with NetsuiteId: a04IV00000tknFlYAI=20187
a04IV00000rHLEfYAO,2024000375,20250,20250,Already exists with NetsuiteId: a04IV00000tknakYAA=20250
a04IV00000rHLFKYA4,2024000420,20496,20496,Already exists with NetsuiteId: a04IV00000tki9eYAA=20496
a04IV00000rHLCwYAO,2024000421,20512,20512,Already exists with NetsuiteId: a04IV00000tkYK0YAM=20512
a04IV00000rHLFcYAO,2024000440,20672,20672,Already exists with NetsuiteId: a04IV00000tkfuxYAA=20672
a04IV00000rHLFiYAO,2024000447,20687,20687,Already exists with NetsuiteId: a04IV00000tks2YYAQ=20687
a04IV00000rHLFxYAO,2024000461,20755,20755,Already exists with NetsuiteId: a04IV00000tkcLzYAI=20755
a04IV00000rHLHPYA4,2024000571,20657,20657,Already exists with NetsuiteId: a04IV00000tkmWcYAI=20657
a04IV00000rHLHQYA4,2024000572,20660,20660,Already exists with NetsuiteId: a04IV00000tkZ80YAE=20660
a04IV00000rHLHRYA4,2024000573,20663,20663,Already exists with NetsuiteId: a04IV00000tkthlYAA=20663
a04IV00000rHLHSYA4,2024000574,20666,20666,Already exists with NetsuiteId: a04IV00000tkOm5YAE=20666
a04IV00000rHLHTYA4,2024000576,20655,20655,Already exists with NetsuiteId: a04IV00000tkkzSYAQ=20655
a04IV00000rHLHUYA4,2024000577,20658,20658,Already exists with NetsuiteId: a04IV00000tkqn9YAA=20658
a04IV00000rHLHVYA4,2024000578,20661,20661,Already exists with NetsuiteId: a04IV00000tktcvYAA=20661
a04IV00000rHLHWYA4,2024000579,20664,20664,Already exists with NetsuiteId: a04IV00000tkt1qYAA=20664
a04IV00000rHLHXYA4,2024000580,20667,20667,Already exists with NetsuiteId: a04IV00000tktjNYAQ=20667
a04IV00000rHJmzYAG,2024000763,20116,20116,Already exists with NetsuiteId: a04IV00000tkmJhYAI=20116
a04IV00000rHJn8YAG,2024000774,20510,20510,Already exists with NetsuiteId: a04IV00000tkHe6YAE=20510
