Id,NetsuiteId__c,Status__c
a04IV00000rHBw6YAG,20171,Open
a04IV00000rHBxJYAW,20172,Open
a04IV00000rHEbzYAG,19873,Open
a04IV00000rHErPYAW,20135,Open
a04IV00000rHErRYAW,20134,Paid In Full
a04IV00000rHErTYAW,20139,Open
a04IV00000rHErHYAW,20136,Open
a04IV00000rHHfbYAG,19883,Open
a04IV00000rHHxKYAW,19884,Open
a04IV00000rHHxRYAW,19911,Open
a04IV00000rHHEKYA4,20449,Open
a04IV00000rHHKUYA4,20450,Open
a04IV00000rHHbmYAG,20654,Paid In Full
a04IV00000rHHcFYAW,19885,Open
a04IV00000rHHcGYAW,19891,Open
a04IV00000rHHcHYAW,19874,Open
a04IV00000rHHcJYAW,19875,Open
a04IV00000rHHcKYAW,19876,Open
a04IV00000rHHcLYAW,19912,Open
a04IV00000rHHenYAG,20529,Open
a04IV00000rHL3pYAG,20402,Open
a04IV00000rHL4HYAW,20576,Paid In Full
a04IV00000rHL9FYAW,20438,Open
a04IV00000rHL8xYAG,20577,Paid In Full
a04IV00000rHLDoYAO,19926,Open
a04IV00000rHLDRYA4,20114,Open
a04IV00000rHLEVYA4,20187,Open
a04IV00000rHLEfYAO,20250,Open
a04IV00000rHLFKYA4,20496,Open
a04IV00000rHLCwYAO,20512,Open
a04IV00000rHLFcYAO,20672,Open
a04IV00000rHLFiYAO,20687,Open
a04IV00000rHLFxYAO,20755,Open
a04IV00000rHLHPYA4,20657,Paid In Full
a04IV00000rHLHQYA4,20660,Paid In Full
a04IV00000rHLHRYA4,20663,Paid In Full
a04IV00000rHLHSYA4,20666,Paid In Full
a04IV00000rHLHTYA4,20655,Paid In Full
a04IV00000rHLHUYA4,20658,Paid In Full
a04IV00000rHLHVYA4,20661,Paid In Full
a04IV00000rHLHWYA4,20664,Paid In Full
a04IV00000rHLHXYA4,20667,Paid In Full
a04IV00000rHJmzYAG,20116,Open
a04IV00000rHJn8YAG,20510,Open
a04IV00000rHJnOYAW,20272,Open
a04IV00000rHLKYYA4,20704,Open
a04IV00000rHLNfYAO,20004,Open
a04IV00000rHLQLYA4,20063,Open
a04IV00000rHLgzYAG,19990,Open
a04IV00000rHLmTYAW,20193,Open
a04IV00000rHLoPYAW,19991,Open
a04IV00000rHLjKYAW,19992,Open
a04IV00000rHLqFYAW,20194,Paid In Full
a04IV00000rHLrdYAG,20385,Paid In Full
a04IV00000rHLrgYAG,20137,Open
a04IV00000rHLzOYAW,20756,Open
a04IV00000rHM6eYAG,20183,Open
a04IV00000rHM6fYAG,20184,Open
a04IV00000rHM6mYAG,20138,Open
a04IV00000rHMA4YAO,19886,Open
a04IV00000rHMERYA4,20964,Open
a04IV00000rHMKkYAO,19877,Open
a04IV00000rHMKpYAO,19878,Open
a04IV00000rHMKqYAO,19913,Open
a04IV00000rHMKsYAO,19900,Paid In Full
a04IV00000rHMShYAO,20154,Open
a04IV00000rHMTSYA4,20924,Open
a04IV00000rHMTMYA4,21062,Paid In Full
a04IV00000rHMT4YAO,20877,Open
a04IV00000rHMTwYAO,20320,Open
a04IV00000rHMTdYAO,20045,Paid In Full
a04IV00000rHMU3YAO,20147,Open
a04IV00000rHMWTYA4,20497,Open
a04IV00000rHMbPYAW,20185,Open
a04IV00000rHMbpYAG,21036,Open
a04IV00000rHMbvYAG,20573,Paid In Full
a04IV00000rHMcEYAW,20656,Paid In Full
a04IV00000rHMcHYAW,20659,Paid In Full
a04IV00000rHMcFYAW,20662,Paid In Full
a04IV00000rHMcIYAW,20665,Paid In Full
a04IV00000rHMcGYAW,20668,Paid In Full
a04IV00000rHMfyYAG,20796,Paid In Full
a04IV00000rHMlzYAG,20439,Open
a04IV00000rHMlfYAG,20678,Open
a04IV00000rHMlcYAG,20963,Open
a04IV00000rHMotYAG,19804,Open
a04IV00000rHMoCYAW,19839,Open
a04IV00000rHMp1YAG,19854,Open
a04IV00000rHMndYAG,19927,Open
a04IV00000rHMmVYAW,20005,Open
a04IV00000rHMprYAG,20115,Open
a04IV00000rHMnkYAG,20188,Open
a04IV00000rHMnBYAW,20251,Open
a04IV00000rHMqCYAW,20326,Open
a04IV00000rHMmwYAG,20347,Open
a04IV00000rHMmxYAG,20434,Open
a04IV00000rHMokYAG,20445,Open
a04IV00000rHMqOYAW,20498,Open
